Adult hake
Anchvoy
Anglerfishes
Benthic cephalopods
Benthic invertebrates C
Benthic invertebrates FDS
Benthopelagic cephalopods
Bivalves
Blue whiting
Commercial sparids 1
Commercial sparids 2
Common octopus
Crabs
Deep-sea fishes
Demersal fishes
Demersal piscivores
Detritus
Discard
Dolphins
Flatfishes
Gelatinous zooplankton
Horse mackerels
Import
Juvenile hake
Killer whales
Large benthopelagic fishes
Loggerhead turtles
Mackerels
Macrozooplankton
Mantis shrimp
Meso and microzooplankton
Mullets
Norway lobster
Phytoplankton
Polychaetes
Rose shrimp
Sardine
Seabirds
Sharks
Shrimps
Skates
Small benthopelagic fishes
Small demersal fishes
Suprabenthos
